# from Harris+2010 updated 
# Name  L       B   R_gc  Fe/H   m-M     Mv  r_h_arcmin
NGC104  -44.89  4.5  7.4  -0.72  13.37  -9.42  3.17
NGC288  -89.38  8.9  12  -1.32  14.84  -6.75  2.23
NGC362  -46.25  8.6  9.4  -1.26  14.83  -8.43  0.82
Whiting1  -60.76  30.1  34.5  -0.7  17.49  -2.46  0.22
NGC1261  -52.12  16.3  18.1  -1.27  16.09  -7.8  0.68
Pal1  19.03  11.1  17.2  -0.65  15.7  -2.52  0.46
AM1  -48.47  123.3  124.6  -1.7  20.45  -4.73  0.41
Eridanus  -41.33  90.1  95  -1.43  19.83  -5.13  0.46
Pal2  -9.07  27.2  35  -1.42  21.01  -7.97  0.5
NGC1851  -35.03  12.1  16.6  -1.18  15.47  -8.33  0.51
NGC1904  -29.35  12.9  18.8  -1.6  15.59  -7.86  0.65
NGC2298  -16  10.8  15.8  -1.92  15.6  -6.31  0.98
NGC2419  25.24  82.6  89.9  -2.15  19.83  -9.42  0.89
NGC2808  -11.25  9.6  11.1  -1.14  15.59  -9.39  0.8
E3  -19.02  8.1  9.1  -0.83  15.47  -4.12  2.1
Pal3  41.86  92.5  95.7  -1.63  19.95  -5.69  0.65
NGC3201  8.64  4.9  8.8  -1.59  14.2  -7.45  3.1
Pal4  71.8  108.7  111.2  -1.41  20.21  -6.01  0.51
NGC4147  77.19  19.3  21.4  -1.8  16.49  -6.17  0.48
NGC4372  -9.88  5.8  7.1  -2.17  15.03  -7.79  3.91
Rup106  11.67  21.2  18.5  -1.68  17.25  -6.35  1.05
NGC4590  36.05  10.3  10.2  -2.23  15.21  -7.37  1.51
NGC4833  -8.02  6.6  7  -1.85  15.08  -8.17  2.41
NGC5024  79.76  17.9  18.4  -2.1  16.32  -8.71  1.31
NGC5053  78.95  17.4  17.8  -2.27  16.23  -6.76  2.61
NGC5139  14.97  5.2  6.4  -1.53  13.94  -10.26  5
NGC5272  78.71  10.2  12  -1.5  15.07  -8.88  2.31
NGC5286  10.57  11.7  8.9  -1.69  16.08  -8.74  0.73
AM4  33.51  32.2  27.8  -1.3  17.69  -1.81  0.43
NGC5466  73.59  16  16.3  -1.98  16.02  -6.98  2.3
NGC5634  49.26  25.2  21.2  -1.88  17.16  -7.69  0.86
NGC5694  30.36  35  29.4  -1.98  18  -7.83  0.4
IC4499  -20.47  18.8  15.7  -1.53  17.08  -7.32  1.71
NGC5824  22.07  32.1  25.9  -1.91  17.94  -8.85  0.45
Pal5  45.86  23.2  18.6  -1.41  16.92  -5.17  2.73
NGC5897  30.29  12.5  7.4  -1.9  15.76  -7.23  2.06
NGC5904  46.8  7.5  6.2  -1.29  14.46  -8.81  1.77
NGC5927  4.86  7.7  4.6  -0.49  15.82  -7.81  1.1
NGC5946  4.19  10.6  5.8  -1.29  16.79  -7.18  0.89
NGC5986  13.27  10.4  4.8  -1.59  15.96  -8.44  0.98
Lynga7  -2.8  8  4.3  -0.67  16.78  -6.6  1.2
Pal14  42.19  76.5  71.6  -1.62  19.54  -4.8  1.22
NGC6093  19.46  10  3.8  -1.75  15.56  -8.23  0.61
NGC6121  15.97  2.2  5.9  -1.16  12.82  -7.19  4.33
NGC6101  -15.82  15.4  11.2  -1.98  16.1  -6.94  1.05
NGC6144  15.7  8.9  2.7  -1.76  15.86  -6.85  1.63
NGC6139  6.94  10.1  3.6  -1.65  17.35  -8.36  0.85
Terzan3  9.19  8.2  2.5  -0.74  16.82  -4.82  1.25
NGC6171  23.01  6.4  3.3  -1.02  15.05  -7.12  1.73
1636-283  12.1  8.3  2.1  -1.5  16.02  -4.02  0.5
NGC6205  40.91  7.1  8.4  -1.53  14.33  -8.55  1.69
NGC6229  40.31  30.5  29.8  -1.47  17.45  -8.06  0.36
NGC6218  26.31  4.8  4.5  -1.37  14.01  -7.31  1.77
NGC6235  13.52  11.5  4.2  -1.28  16.26  -6.29  1
NGC6254  23.08  4.4  4.6  -1.56  14.08  -7.48  1.95
NGC6256  3.31  10.3  3  -1.02  18.44  -7.15  0.86
Pal15  24.3  45.1  38.4  -2.07  19.51  -5.51  1.1
NGC6266  7.32  6.8  1.7  -1.18  15.63  -9.18  0.92
NGC6273  9.38  8.8  1.7  -1.74  15.9  -9.13  1.32
NGC6284  9.94  15.3  7.5  -1.26  16.79  -7.96  0.66
NGC6287  11.02  9.4  2.1  -2.1  16.72  -7.36  0.74
NGC6293  7.83  9.5  1.9  -1.99  16  -7.78  0.89
NGC6304  5.38  5.9  2.3  -0.45  15.52  -7.3  1.42
NGC6316  5.76  10.4  2.6  -0.45  16.77  -8.34  0.65
NGC6341  34.86  8.3  9.6  -2.31  14.65  -8.21  1.02
NGC6325  8  7.8  1.1  -1.25  17.29  -6.96  0.63
NGC6333  10.71  7.9  1.7  -1.77  15.67  -7.95  0.96
NGC6342  9.72  8.5  1.7  -0.55  16.08  -6.42  0.73
NGC6356  10.22  15.1  7.5  -0.4  16.76  -8.51  0.81
NGC6355  5.43  9.2  1.4  -1.37  17.21  -8.07  0.88
NGC6352  -7.17  5.6  3.3  -0.64  14.43  -6.47  2.05
IC1257  15.15  25  17.9  -1.7  19.25  -6.15  1.4
Terzan2  2.3  7.5  0.8  -0.69  20.17  -5.88  1.52
NGC6366  16.04  3.5  5  -0.59  14.94  -5.74  2.92
Terzan4  1.31  7.2  1  -1.41  20.48  -4.48  1.85
HP1  2.12  8.2  0.5  -1  18.05  -6.46  3.1
NGC6362  -17.57  7.6  5.1  -0.99  14.68  -6.95  2.05
NGC6380  -3.42  10.9  3.3  -0.75  18.81  -7.5  0.74
Terzan1  1  6.7  1.3  -1.03  20.31  -4.41  3.82
Ton2  -3.42  8.2  1.4  -0.7  18.41  -6.17  1.3
NGC6388  -6.74  9.9  3.1  -0.55  16.13  -9.41  0.52
NGC6402  14.81  9.3  4  -1.28  16.69  -9.1  1.3
NGC6401  3.98  10.6  2.7  -1.02  17.35  -7.9  1.91
NGC6397  -11.96  2.3  6  -2.02  12.37  -6.64  2.9
Pal6  1.78  5.8  2.2  -0.91  18.34  -6.79  1.2
NGC6426  16.23  20.6  14.4  -2.15  17.68  -6.67  0.92
Djorg1  -2.47  13.7  5.7  -1.51  20.58  -6.98  1.59
Terzan5  1.69  6.9  1.2  -0.23  21.27  -7.42  0.72
NGC6440  3.8  8.5  1.3  -0.36  17.95  -8.75  0.48
NGC6441  -5.01  11.6  3.9  -0.46  16.78  -9.63  0.57
Terzan6  -2.16  6.8  1.3  -0.56  21.44  -7.59  0.44
NGC6453  -3.87  11.6  3.7  -1.5  17.3  -7.22  0.44
NGC6496  -10.01  11.3  4.2  -0.46  15.74  -7.2  1.02
Terzan9  -1.99  7.1  1.1  -1.05  19.71  -3.71  0.78
Djorg2  -2.5  6.3  1.8  -0.65  16.9  -7  1.05
NGC6517  6.76  10.6  4.2  -1.23  18.48  -8.25  0.5
Terzan10  -1.99  5.8  2.3  -1  21.25  -6.35  1.55
NGC6522  -3.93  7.7  0.6  -1.34  15.92  -7.65  1
NGC6535  10.44  6.8  3.9  -1.79  15.22  -4.75  0.85
NGC6528  -4.17  7.9  0.6  -0.11  16.17  -6.57  0.38
NGC6539  6.78  7.8  3.0  -0.63  17.62  -8.29  1.7
NGC6544  -2.2  3  5.1  -1.4  14.71  -6.94  1.21
NGC6541  -11.19  7.5  2.1  -1.81  14.82  -8.52  1.06
ESO-SC06  -12.57  21.4  14.0  -1.8  16.87  -4.87  1.05
NGC6553  -3.03  6  2.2  -0.18  15.83  -7.77  1.03
#2MS-GC02  -0.61  4.9  3.2  -1.08  29.46  -4.86  0.55
NGC6558  -6.02  7.4  1.0  -1.32  15.7  -6.44  2.15
IC1276  5.67  5.4  3.7  -0.75  17.01  -6.67  2.38
Terzan12  -2.1  4.8  3.4  -0.5  19.77  -4.14  0.75
NGC6569  -6.68  10.9  3.1  -0.76  16.83  -8.28  0.8
BH261  -5.27  6.5  1.7  -1.3  15.19  -4.19  0.55
NGC6584  -16.41  13.5  7.0  -1.5  15.96  -7.69  0.73
NGC6624  -7.91  7.9  1.2  -0.44  15.36  -7.49  0.82
NGC6626  -5.58  5.5  2.7  -1.32  14.95  -8.16  1.97
NGC6638  -7.15  9.4  2.2  -0.95  16.14  -7.12  0.51
NGC6637  -10.27  8.8  1.7  -0.64  15.28  -7.64  0.84
NGC6642  -6.44  8.1  1.7  -1.26  15.79  -6.66  0.73
NGC6652  -11.38  10  2.7  -0.81  15.28  -6.66  0.48
NGC6656  -7.55  3.2  4.9  -1.7  13.6  -8.5  3.36
Pal8  -6.79  12.8  5.5  -0.37  16.53  -5.51  0.58
NGC6681  -12.51  9  2.2  -1.62  14.99  -7.12  0.71
NGC6712  -4.32  6.9  3.5  -1.02  15.6  -7.5  1.33
NGC6715  -14.09  26.5  18.9  -1.49  17.58  -9.98  0.82
NGC6717  -10.9  7.1  2.4  -1.26  14.94  -5.66  0.68
NGC6723  -17.3  8.7  2.6  -1.1  14.84  -7.83  1.53
NGC6749  -2.21  7.9  5.0  -1.6  19.14  -6.7  1.1
NGC6752  -25.63  4  5.2  -1.54  13.13  -7.73  1.91
NGC6760  -3.92  7.4  4.8  -0.4  16.72  -7.84  1.27
NGC6779  8.34  9.4  9.2  -1.98  15.68  -7.41  1.1
Terzan7  -20.07  22.8  15.6  -0.32  17.01  -5.01  0.77
Pal10  2.72  5.9  6.4  -0.1  19.01  -5.79  0.99
Arp2  -20.79  28.6  21.4  -1.75  17.59  -5.29  1.77
NGC6809  -23.27  5.4  3.9  -1.94  13.89  -7.57  2.83
Terzan8  -24.56  26.3  19.4  -2.16  17.47  -5.07  0.95
Pal11  -15.57  13.4  8.2  -0.4  16.72  -6.92  1.46
NGC6838  -4.56  4  6.7  -0.78  13.8  -5.61  1.67
NGC6864  -25.75  20.9  14.7  -1.29  17.09  -8.57  0.46
NGC6934  -18.89  15.6  12.8  -1.47  16.28  -7.45  0.69
NGC6981  -32.68  17  12.9  -1.42  16.31  -7.04  0.93
NGC7006  -19.41  41.2  38.5  -1.52  18.23  -7.67  0.44
NGC7078  -27.31  10.4  10.4  -2.37  15.39  -9.19  1
NGC7089  -35.77  11.5  10.4  -1.65  15.5  -9.03  1.06
NGC7099  -46.84  8.1  7.1  -2.27  14.64  -7.45  1.03
Pal12  -47.68  19  15.8  -0.85  16.46  -4.47  1.72
Pal13  -42.7  26  26.9  -1.88  17.23  -3.76  0.36
NGC7492  -63.48  26.3  25.3  -1.78  17.1  -5.81  1.15
