#RA      DEC     NAME
001.89 +16.51    1 
002.11 -19.64    2 
002.32  +4.03    3 
002.34  +6.78    4 
002.57 +33.09    5 
002.62 +17.69    6 
002.92 +32.41    7 
003.04 -11.19    8 
003.09  +9.46    9 
003.21  -5.99   10 
003.19 -16.44   11 
003.34  -7.61   12 
003.41 -19.51   13 
003.81 -23.89   14 
003.81 -26.02   15 
004.19  +6.74   16 
004.24  +8.79   17 
004.26  -2.79   18 
004.71  -6.19   19 
004.91 -22.62   20 
005.13 +28.63   21 
005.18 -25.71   22 
005.44  -0.89   23 
005.63 +23.29   24 
005.77  -0.16   25 
005.84 +36.84   26 
006.20 -20.71   27 
006.29  +8.13   28 
006.74 +38.56   29 
006.68 -12.19   30 
006.78 +22.63   31 
006.74  -9.11   32 
006.78 -19.51   33 
006.81  -8.81   34 
006.85 -21.67   35 
006.91 -12.79   36 
006.98 -10.52   37 
007.10 +13.93   38 
007.08 -11.39   39 
007.15 +16.39   40 
007.20  +7.84   41 
007.15 -23.64   42 
007.23 +17.58   43 
007.40 +12.03   44 
007.46 -12.29   45 
007.56 -12.87   46 
007.65 -24.16   47 
007.80 +12.54   48 
007.86 -11.42   49 
007.85 -22.22   50 
007.90 -23.66   51 
007.96 -12.19   52 
008.16  -7.56   53 
008.44 +26.74   54 
008.49  +6.33   55 
008.46  -7.79   56 
008.48  -8.91   57 
008.51  -6.76   58 
008.61 +30.28   59 
008.74 +30.03   60 
008.70 -23.19   61 
008.83 +20.39   62 
008.96 +49.69   63 
009.13 +18.91   64 
009.23 +19.08   65 
009.16  -5.17   66 
009.26 +19.26   67 
009.25  +9.14   68 
009.41 +18.34   69 
009.33  -7.43   70 
009.44 +29.59   71 
009.64 +45.72   72 
009.57  +9.42   73 
009.72 -22.31   74 
009.96 +21.26   75 
009.95  +6.77   76 
010.14 +29.52   77 
010.14 +26.74   78 
010.16 +18.14   79 
010.09 -24.68   80 
010.26 +22.27   81 
010.34 +25.41   82 
010.35 +14.04   83 
010.46 +21.41   84 
010.41  -9.34   85 
010.62 -21.79   86 
010.76  -9.79   87 
010.72 -26.04   88 
010.78  -9.43   89 
010.84  +2.17   90 
010.81 -10.63   91 
010.93 +20.66   92 
010.92 -18.46   93 
011.31  -2.33   94 
011.46  -0.86   95 
011.61 +39.51   96 
011.47 -23.16   97 
011.61 +20.49   98 
011.70 -17.64   99 
011.81  -2.51  100 
011.89  -0.91  101 
012.17  +1.37  102 
012.31  -5.84  103 
012.44 +24.52  104 
012.39  -4.73  105 
012.60 -11.68  106 
012.57 -19.24  107 
012.76  -6.54  108 
013.12 +22.22  109 
013.20  +6.12  110 
013.21  -5.01  111 
013.41  -0.80  112 
013.39  -4.61  113 
013.42 -21.68  114 
014.00 +26.32  115 
013.97  +0.64  116 
014.00 -10.03  117 
013.93 -26.41  118 
014.09  -1.26  119 
014.27 -16.41  120 
014.38  -7.01  121 
014.36 -26.28  122 
014.60 -14.40  123 
014.85 +42.37  124 
015.03 +14.27  125 
014.95 -14.21  126 
014.98 -23.46  127 
015.12 -12.96  128 
015.25  -9.96  129 
015.39  -0.15  130 
015.55 -14.78  131 
015.75 +27.02  132 
015.66 -21.80  133 
015.76  -2.53  134 
015.81 -22.58  135 
016.03 +25.07  136 
016.13 +25.73  137 
016.34 +43.10  138 
016.35 +36.38  139 
016.13 -23.97  140 
016.41 -24.60  141 
016.54  +0.95  142 
016.68 +26.23  143 
016.59 -20.87  144 
016.69  -2.45  145 
016.87 -11.25  146 
017.04  +2.17  147 
017.00 -13.18  148 
017.34 +43.60  149 
017.31 +13.17  150 
017.22 -15.42  151 
017.46 +13.98  152 
017.42  +5.23  153 
017.74 +17.67  154 
017.58 -24.82  155 
017.95 +33.45  156 
017.77 -14.40  157 
017.94 +16.88  158 
017.99 -15.10  159 
018.21 +15.51  160 
018.71 +37.41  161 
018.54  +2.88  162 
018.66 +24.73  163 
018.58  -3.75  164 
018.85 +32.60  165 
018.64 -16.27  166 
018.86 +24.48  167 
018.79  +0.25  168 
019.12 +41.11  169 
019.04 +13.10  170 
019.19 +16.26  171 
019.25  +3.25  172 
019.69 +39.00  173 
019.96 +35.81  174 
019.89 +14.88  175 
019.90  -8.14  176 
020.00 -21.02  177 
020.45 +20.08  178 
020.45 +19.48  179 
020.47  +3.01  180 
020.49  +0.29  181 
020.55  -6.92  182 
020.48 -21.91  183 
020.66 +13.04  184 
020.60 -21.47  185 
020.67 -10.42  186 
020.63 -19.22  187 
020.69 -12.77  188 
020.92  +1.64  189 
020.92  -9.86  190 
021.10 +20.91  191 
021.07  +4.48  192 
021.28  +8.69  193 
021.39  -1.51  194 
021.73 +19.18  195 
021.81 +23.21  196 
021.68 -18.11  197 
021.76 -16.44  198 
021.78 -17.79  199 
021.99 +15.21  200 
022.02 +16.53  201 
021.98  +7.28  202 
022.07  +1.88  203 
022.15  -6.79  204 
022.25  +6.21  205 
022.12 -25.59  206 
022.29  -2.49  207 
022.89  +0.54  208 
022.99 -13.58  209 
023.06 -25.98  210 
023.21  -4.01  211 
023.57  +4.49  212 
023.86 +20.62  213 
023.59 -26.09  214 
023.84 -23.44  215 
024.18  -6.41  216 
024.15  -8.05  217 
024.14 -10.75  218 
024.33  +9.15  219 
024.33  +7.94  220 
024.53 +18.14  221 
024.36 -12.98  222 
024.49 -12.78  223 
024.58  -6.95  224 
024.73 +18.89  225 
024.74 -10.25  226 
024.95 +18.19  227 
024.79 -10.05  228 
024.86  -3.63  229 
024.87 -11.36  230 
025.14 +24.52  231 
025.02 -10.36  232 
025.09  -1.83  233 
025.26 +18.92  234 
025.05 -17.41  235 
025.12 -11.85  236 
025.24  +0.27  237 
