# RA	DEC	Name	rad_arcmin	dist_kpc	diam_kpc	m-M	unc_mM	method	ref	DB
274.6271	-16.9772	GLIMPSE02	2	4.6	0.003	13.3	0.05	SeeRef	SeeRef	Harris+2010
272.0909	-19.8297	2MS-GC01	3	3.58	0.003	12.77	0.05	SeeRef	SeeRef	Harris+2010
212.17083	56.92722	dw1408+56	0.36	27925.44	2.96	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
210.41833	55.01583	M101Dw10	0.15	27925.44	1.22	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
212.52	54.25806	M101Dw11	0.14	27925.44	1.15	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
212.76333	53.94722	M101Dw14	0.19	27925.44	1.54	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
212.17958	55.16583	M101dwB	0.30	27925.44	2.44	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
211.325	54.89889	M101dwC	0.30	27925.44	2.44	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
211.1025	53.27194	M101dwD	0.38	27925.44	3.09	32.23	-99.99	mem	2019Ap.....62..293K	LVGDB
211.88917	54.71	M101-df4	0.92	27039.58	7.20	32.16	-99.99	mem	2016ApJ...833..168M	LVGDB
211.11708	55.61667	M101-df5	1.27	27039.58	10.02	32.16	-99.99	mem	2016ApJ...833..168M	LVGDB
212.07917	55.19	M101-df6	0.71	27039.58	5.55	32.16	-99.99	mem	2016ApJ...833..168M	LVGDB
211.45125	55.13278	M101-df7	0.67	27039.58	5.27	32.16	-99.99	mem	2016ApJ...833..168M	LVGDB
159.53333	10.38083	AGC200499	0.87	25118.86	6.32	32.00	-99.99	TF	2018LVG.Distance..K	LVGDB
54.87833	-18.68806	NGC1400	3.75	24888.57	27.13	31.98	0.10	SBF	2003ApJ...583..712J	LVGDB
185.80833	28.89389	IC3247	2.23	24434.31	15.84	31.94	-99.99	TF	2011LVG.Distance..K	LVGDB
178.84375	28.34167	MCG+05-28-046	1.19	23768.40	8.22	31.88	-99.99	TF	2017LVG.Distance..K	LVGDB
191.7525	32.65139	FGC1497	1.01	23442.29	6.88	31.85	-99.99	TF	2011LVG.Distance..K	LVGDB
145.1125	0.0425	KDG058	0.69	22908.68	4.61	31.80	-99.99	h	são.ru/lv/lvgdb/object.php?name=KDG058&id=769	LVGDB
189.09375	40.00528	UGC07774	2.98	22594.36	19.61	31.77	-99.99	TF	2011LVG.Distance..K	LVGDB
158.73375	11.49222	AGC202248	0.37	22181.96	2.41	31.73	-99.99	NAM	2018LVG.Distance..K	LVGDB
158.95333	8.47972	LeG03	0.92	21877.62	5.87	31.70	-99.99	TF	2018LVG.Distance..K	LVGDB
138.30042	-19.40861	UGCA153	2.38	21877.62	15.17	31.70	-99.99	TF	2011LVG.Distance..K	LVGDB
139.89208	51.10917	UGC04932	1.81	20606.30	10.82	31.57	-99.99	TF	2011LVG.Distance..K	LVGDB
192.61333	28.35278	UGC07990	1.16	20417.38	6.88	31.55	-99.99	TF	2011LVG.Distance..K	LVGDB
136.89542	33.27667	UGC04787	2.38	20323.57	14.08	31.54	-99.99	TF	2011LVG.Distance..K	LVGDB
162.28167	6.91722	UGC05923	1.25	20323.57	7.40	31.54	-99.99	TF	2016LVG.Distance..K	LVGDB
97.62	39.50389	UGC03475	2.41	20044.72	14.07	31.51	-99.99	TF	2011LVG.Distance..K	LVGDB
145.05292	29.59139	KISSB023	0.81	19769.70	4.67	31.48	-99.99	TF	2011LVG.Distance..K	LVGDB
142.20667	51.56056	UGC05047	1.56	19678.86	8.93	31.47	-99.99	TF	2012LVG.Distance..K	LVGDB
181.3925	28.23222	LVJ1205+2813	0.70	19498.45	3.95	31.45	-99.99	TF	2017LVG.Distance..K	LVGDB
62.46583	-56.11833	NGC1533	3.57	19408.86	20.13	31.44	0.12	SBF	2007ApJ...671.1624D	LVGDB
62.22542	-55.99222	IC2038	1.99	19230.92	11.14	31.42	-99.99	TF	2016LVG.Distance..K	LVGDB
183.88917	43.43417	UGC07271	2.32	18620.87	12.59	31.35	-99.99	TF	2011LVG.Distance..K	LVGDB
151.84458	38.96972	KKH58	1.24	18365.38	6.63	31.32	-99.99	TF	2011LVG.Distance..K	LVGDB
184.56458	25.56833	AGC229053	0.49	17864.88	2.54	31.26	-99.99	TF	2011AJ....142..170H	LVGDB
125.25292	-23.78139	ESO495-008	0.73	17298.16	3.68	31.19	-99.99	TF	2011LVG.Distance..K	LVGDB
183.34458	29.92167	KK127	1.35	17298.16	6.80	31.19	-99.99	TF	2011LVG.Distance..K	LVGDB
184.39167	22.54028	UGC7321	6.19	17218.69	31.02	31.18	-99.99	TF	2011LVG.Distance..K	LVGDB
182.50708	14.36694	IC3023	1.12	16982.44	5.54	31.15	0.24	TRGB	2014ApJ...782....4K	LVGDB
189.99375	13.78139	KDG177	0.89	16982.44	4.42	31.15	0.24	TRGB	2014ApJ...782....4K	LVGDB
163.42792	9.72806	UGC06014	1.21	16982.44	5.99	31.15	-99.99	TF	2018LVG.Distance..K	LVGDB
160.71833	13.74111	AGC205268	0.38	16904.41	1.86	31.14	-99.99	BTF	2017LVG.Distance..K	LVGDB
182.29917	30.90667	UGC07131	1.58	16826.74	7.71	31.13	-99.99	TF	2011LVG.Distance..K	LVGDB
184.91125	29.88333	IC779	1.33	16672.47	6.47	31.11	0.08	SBF	2007ApJ...668..130C	LVGDB
178.91417	31.51944	KDG082	1.91	16595.87	9.22	31.10	-99.99	TF	2011LVG.Distance..K	LVGDB
183.45167	29.95889	AGC732009	0.47	16519.62	2.26	31.09	-99.99	TF	2017LVG.Distance..K	LVGDB
184.97542	6.66583	VCC0381	0.77	16519.62	3.72	31.09	-99.99	mem	2020LVG.Distance..K	LVGDB
178.68625	20.05556	UGC06881	1.62	16368.17	7.70	31.07	-99.99	TF	2011LVG.Distance..K	LVGDB
185.02833	29.28083	PGC39764	4.30	16069.41	20.12	31.03	0.20	SBF	2001ApJ...546..681T	LVGDB
150.98917	40.75694	NGC3104	3.51	15995.58	16.35	31.02	-99.99	TF	2011LVG.Distance..K	LVGDB
114.36875	47.40917	LVJ0737+4724	0.44	15703.63	2.03	30.98	-99.99	TF	2011LVG.Distance..K	LVGDB
185.16917	47.00083	KK136	0.48	15631.48	2.17	30.97	0.32	SBF	2018ApJ...868...96C	LVGDB
99.66	49.25833	UGC03501	1.20	15488.17	5.42	30.95	-99.99	TF	2011LVG.Distance..K	LVGDB
193.6225	26.305	UGC08030	1.22	15275.66	5.40	30.92	-99.99	TF	2011LVG.Distance..K	LVGDB
134.75125	39.21	UGC04704	4.11	15205.48	18.17	30.91	-99.99	TF	2011LVG.Distance..K	LVGDB
186.42667	26.81	AGC749236	0.61	15066.07	2.69	30.89	-99.99	BTF	2016LVG.Distance..K	LVGDB
208.42333	60.05111	KDG229	0.84	14996.85	3.67	30.88	-99.99	TRGB	2016LVG.Distance..K	LVGDB
214.81167	3.12389	KKR08	0.58	14996.85	2.53	30.88	-99.99	TRGB	2016LVG.Distance..K	LVGDB
181.21583	26.9925	NGC4080	1.57	14996.85	6.85	30.88	-99.99	TF	2011LVG.Distance..K	LVGDB
147.02458	7.12917	AGC191803	0.72	14927.94	3.12	30.87	-99.99	TF	2011AJ....142..170H	LVGDB
180.0675	31.225	KUG1157+315	0.82	14791.08	3.54	30.85	-99.99	TF	2016LVG.Distance..K	LVGDB
125.40417	4.31694	AGC188955	0.26	14521.12	1.09	30.81	-99.99	TF	2014LVG.Distance..K	LVGDB
188.2	37.62167	UGC07699	3.81	14521.12	16.11	30.81	-99.99	TF	2011LVG.Distance..K	LVGDB
185.48708	30.07417	NGC4308	0.87	13995.87	3.53	30.73	-99.99	txt	2011LVG.Distance..K	LVGDB
184.29208	47.06361	LVJ1217+4703	0.30	13803.84	1.22	30.70	0.22	SBF	2018ApJ...868...96C	LVGDB
177.23833	23.83778	DDO097	1.62	13740.42	6.48	30.69	-99.99	BS	1998A&AS..128..459M	LVGDB
182.64	30.40167	NGC4150	2.19	13740.42	8.77	30.69	0.24	SBF	2001ApJ...546..681T	LVGDB
126.27083	32.01806	KUG0821+321	0.53	13489.63	2.09	30.65	-99.99	NAM	2018LVG.Distance..K	LVGDB
143.68708	6.42556	CGCG035-007	1.09	13001.70	4.14	30.57	-99.99	TF	2011LVG.Distance..K	LVGDB
129.95292	31.68111	AGC181604	0.78	12882.50	2.92	30.55	-99.99	NAM	2018LVG.Distance..K	LVGDB
183.84833	51.35	UGC07267	2.05	12882.50	7.67	30.55	-99.99	TF	2011LVG.Distance..K	LVGDB
186.32458	26.71472	IC3308	1.50	12823.31	5.58	30.54	-99.99	TF	2011LVG.Distance..K	LVGDB
149.19042	28.825	DDO068	1.95	12764.39	7.23	30.53	0.05	TRGB	2014ApJ...787L...1C	LVGDB
149.17125	29.01417	DDO068C	0.45	12705.74	1.66	30.52	-99.99	mem	2014LVG.Distance..K	LVGDB
181.31625	30.85556	IC2992	0.84	12705.74	3.11	30.52	-99.99	TF	2011LVG.Distance..K	LVGDB
184.89083	47.45167	KK134	0.38	12705.74	1.40	30.52	-99.99	SBF	2020ApJ...891..144C	LVGDB
179.68375	27.585	BTS76	0.60	12589.25	2.21	30.50	-99.99	TRGB	2018ApJ...858...62K	LVGDB
