#RA     DEC     NAME
000.03 +32.75 I5370 
000.05 +32.82 I5371 
000.10 +50.70  7801 
000.10 +32.78 I5372 
000.10 +32.78 I5373 
000.28  +6.22  7802 
000.28  +4.50 I5374 
000.28  +4.52 I5375 
000.33  +7.75  7804 
000.35 +13.10  7803 
000.35 +31.43  7805 
000.35 +34.53 I5376 
000.38 +31.45  7806 
000.40 +11.35 I1526 
000.53 +16.60 I5377 
000.55  +2.93  7809 
000.60 +12.95  7810 
000.60  +4.12 I1527 
000.63  +3.33  7811 
000.65 +16.62 I5378 
000.68 +16.58 I5379 
000.68 -66.18 I5380 
000.73 -34.25  7812 
000.80 -11.98  7813 
000.80 +15.97 I5381 
000.83 +16.15  7814 
000.85 +20.68  7815 
000.85 -65.18 I5382 
000.88 -10.75  7808 
000.90 +68.62  7822 
000.95  +7.47  7816 
000.95 +16.00 I5383 
001.00 +20.75  7817 
001.05  +7.35  7818 
001.05 -11.97 I5384 
001.10 +31.48  7819 
001.15  +5.18  7820 
001.20 -62.07  7823 
001.28  -3.12 I1528 
001.30  +6.90  7824 
001.30  +5.20  7825 
001.30 -20.73  7826 
001.30 -11.50 I1529 
001.33 -16.48  7821 
001.38  +5.22  7827 
001.55  +8.37  7830 
001.60 -13.40  7828 
001.60 -13.40  7829 
001.60  -0.07 I5385 
001.63 +27.63  7833 
001.63  -3.72 I5386 
001.65  -3.70  7832 
001.68  +8.35  7834 
001.70  +8.42  7835 
001.73  +8.33  7837 
001.75  +8.33  7838 
001.75 +27.63  7839 
001.78  +8.55  7840 
001.83 +27.72     1 
001.83 +27.68     2 
001.83  +8.28     3 
001.83 +32.58  7831 
001.83 +32.62 I1530 
001.85  +8.37     4 
001.95 +35.35     5 
002.00 +33.07  7836 
002.08 +32.50     6 
002.10 -29.92     7 
002.10 +27.72 I   1 
002.15 -33.87    10 
002.18 +37.43    11 
002.18  +4.62    12 
002.20 +23.83     8 
002.20 +33.43    13 
002.20 +15.82    14 
002.23 +23.82     9 
002.28 +21.60    15 
002.28 +27.73    16 
002.35 +27.72    18 
002.35 +32.83    19 
002.38 +33.32    20 
002.40 -32.28 I1531 
002.45 +27.83    22 
002.48 +25.92    23 
002.48 -24.97    24 
002.48 -57.05    25 
002.48 -64.37 I1532 
002.58 -57.02    28 
002.60 +25.83    26 
002.63 +29.00    27 
002.63 -57.00    31 
002.65  -7.42 I1533 
002.68 +32.98    21 
002.70 +33.35    29 
002.70 +21.95    30 
002.73 +18.78    32 
002.73  +3.67    33 
002.75 -12.10    17 
002.75 -12.82 I   2 
002.78 -12.10    34 
002.80 -12.00    35 
002.83 -56.97    37 
002.85  +6.38    36 
002.98  -5.60    38 
003.03  -0.42 I   3 
003.08 +31.05    39 
003.20 +22.03    41 
003.23 +22.10    42 
003.25 +72.53    40 
003.25 +30.90    43 
003.28 +31.28    44 
003.35 +17.48 I   4 
003.45 +48.15 I1534 
003.50 +48.23    48 
003.50 +48.15 I1535 
003.53 -23.18    45 
003.53  +5.98    46 
003.55 +48.13 I1536 
003.58 +48.23    49 
003.63  -7.18    47 
003.63  -7.17    58 
003.65 +48.25    51 
003.65 +18.55    52 
003.68  -7.33    50 
003.68 -60.33    53 
003.73 -39.18    55 
003.78  -7.13    54 
003.85 +12.43    56 
003.85 +17.30    57 
003.88 -21.45    59 
