# All this objects are extracted from 2020ApJ...893...47D.
# RA DEC Name rhl_arcmin dist_kpc M-M m-M_unc method Mv ref rhl_pc [Fe/H]
# metalicities from https://iopscience.iop.org/article/10.1088/0004-6256/144/1/4/pdf and more
143.8868 -36.7673 AntII 76.2 132 20.6 0.05 SeeRef -9.03 2020ApJ...893...47D 2301 -1.4
338.4813 -9.3274 AquII 5.1 108 20.2 1.05 SeeRef -4.4 2020ApJ...893...47D 125 -1.80
210.02 14.5135 BooI 9.97 66 19.1 2.05 SeeRef -6.02 2020ApJ...893...47D 160 -2.55
209.5141 12.8553 BooII 3.17 42 18.1 3.05 SeeRef -2.94 2020ApJ...893...47D 33 -1.79
209.3 26.8 BooIIIa 30 47 18.4 4.05 SeeRef -5.75 2020ApJ...893...47D 289 -2.10
233.689 43.726 BooIV 7.6 209 21.6 5.05 SeeRef -4.53 2020ApJ...893...47D 277 -9.99
202.0091 33.5521 CVeI 7.12 218 21.7 6.05 SeeRef -8.8 2020ApJ...893...47D 338 -1.98
194.2927 34.3226 CVenII 1.52 160 21 7.05 SeeRef -5.17 2020ApJ...893...47D 55 -2.21
100.4065 -50.9593 Car 10.1 105 20.1 8.05 SeeRef -9.43 2020ApJ...893...47D 248 -1.72
114.1066 -57.9991 CarII 8.69 36 17.8 9.05 SeeRef -4.5 2020ApJ...893...47D 77 -1.80
114.6298 -57.8997 CarIII 3.75 28 17.2 10.05 SeeRef -2.4 2020ApJ...893...47D 20 -1.80
189.585 -40.902 CenI 2.9 116 20.3 11.05 SeeRef -5.55 2020ApJ...893...47D 76 -9.99
19.47 -17.42 CetII 1.9 0.4 17.4 12.05 SeeRef 0.00 2020ApJ...893...47D 30 -1.28
31.331 -4.27 CetIII 1.23 251 22 13.05 SeeRef -2.5 2020ApJ...893...47D 44 -9.99
82.86 -28.01 ColI 2.2 183 21.3 14.05 SeeRef -4.2 2020ApJ...893...47D 98 -2.15
186.7454 23.9069 CBe 5.64 44 18.2 15.05 SeeRef -4.38 2020ApJ...893...47D 57 -9.99
177.31 -18.413 CraII 31.2 0.1 20.4 16.05 SeeRef -8.2 2020ApJ...893...47D 117 -9.99
# 36.4267 3.0695 DESJ0225+0304 2.68 24 16.9 17.05 SeeRef -1.1 2020ApJ...893...47D 12 -1.26
260.0684 57.9185 Dra 9.67 76 19.4 18.05 SeeRef -8.71 2020ApJ...893...47D 180 -1.93
238.174 64.579 DraII 3 22 16.7 19.05 SeeRef -0.8 2020ApJ...893...47D 17 -2.1
56.0925 -43.5329 EriII 1.77 380 22.9 20.05 SeeRef -7.21 2020ApJ...893...47D 158 -1.5
39.9583 -34.4997 For 19.6 147 20.8 21.05 SeeRef -13.46 2020ApJ...893...47D 707 -0.99
